Date,Price,Open,High,Low,Vol.,Change %
12/31/2024,71.25,70.69,71.52,70.43,63.63K,1.02%
12/30/2024,70.53,70.0,71.05,69.75,93.10K,0.50%
12/27/2024,70.18,69.27,70.32,69.06,79.13K,1.37%
12/26/2024,69.23,69.72,70.25,68.94,69.64K,-0.59%
12/24/2024,69.64,69.04,69.94,68.95,40.39K,1.21%
12/23/2024,68.81,68.97,69.5,68.22,90.95K,-0.30%
12/20/2024,69.02,68.83,69.38,68.05,114.62K,-0.52%
12/19/2024,69.38,69.6,70.58,69.1,291.66K,-0.91%
12/18/2024,70.02,69.82,70.8,69.39,326.61K,0.53%
12/17/2024,69.65,70.23,70.54,68.81,280.90K,-0.91%
12/16/2024,70.29,71.0,71.0,69.98,210.75K,-0.75%
12/13/2024,70.82,69.64,70.94,69.51,201.26K,1.67%
12/12/2024,69.66,69.97,70.27,68.74,231.02K,-0.30%
12/11/2024,69.87,68.15,70.08,68.12,231.68K,2.34%
12/10/2024,68.27,67.86,68.72,67.45,157.46K,0.26%
12/09/2024,68.09,66.93,68.59,66.85,176.71K,1.66%
12/06/2024,66.98,68.08,68.13,66.71,207.12K,-1.44%
12/05/2024,67.96,68.38,68.77,67.66,129.14K,-0.34%
12/04/2024,68.19,69.58,70.11,68.14,141.67K,-1.94%
12/03/2024,69.54,67.89,69.83,67.65,134.42K,2.51%
12/02/2024,67.84,67.77,68.83,67.44,95.00K,0.18%
11/29/2024,67.72,68.39,69.32,67.6,106.39K,-0.92%
11/27/2024,68.35,68.57,69.01,67.81,87.85K,-0.13%
11/26/2024,68.44,68.7,69.91,67.73,98.59K,-0.20%
11/25/2024,68.58,70.96,70.96,68.36,146.70K,-3.09%
11/22/2024,70.77,69.85,71.02,68.96,209.42K,1.43%
11/21/2024,69.77,68.83,70.09,68.62,131.44K,1.48%
11/20/2024,68.75,69.28,69.96,68.64,235.64K,-0.71%
11/19/2024,69.24,69.08,69.74,68.48,349.70K,0.10%
11/18/2024,69.17,66.77,69.37,66.53,300.55K,3.36%
11/15/2024,66.92,68.45,68.51,66.71,200.77K,-2.35%
11/14/2024,68.53,67.97,69.24,67.77,176.09K,0.40%
11/13/2024,68.26,67.82,68.69,66.8,254.21K,0.43%
11/12/2024,67.97,68.04,68.97,67.65,181.18K,0.07%
11/11/2024,67.92,69.99,70.3,67.79,215.31K,-3.12%
11/08/2024,70.11,71.8,71.87,69.67,211.74K,-2.57%
11/07/2024,71.96,71.41,72.41,70.27,187.30K,1.01%
11/06/2024,71.24,71.57,72.18,69.35,158.53K,-0.45%
11/05/2024,71.56,71.17,72.2,70.86,108.65K,0.75%
11/04/2024,71.03,69.87,71.36,69.84,108.26K,2.82%
11/01/2024,69.08,69.96,70.95,68.9,110.38K,0.39%
10/31/2024,68.81,68.65,70.31,67.87,109.20K,0.92%
10/30/2024,68.18,66.97,68.73,66.88,92.73K,2.05%
10/29/2024,66.81,67.63,68.09,66.32,93.13K,-0.25%
10/28/2024,66.98,68.58,68.6,66.59,141.39K,-6.12%
10/25/2024,71.35,70.02,71.52,69.63,99.41K,2.16%
10/24/2024,69.84,70.62,71.87,69.41,83.73K,-0.75%
10/23/2024,70.37,70.94,71.29,69.76,119.31K,-1.91%
10/22/2024,71.74,69.96,72.09,69.35,330.46K,2.43%
10/21/2024,70.04,68.94,70.39,68.46,302.75K,1.97%
10/18/2024,68.69,70.17,70.67,68.17,335.56K,-2.00%
10/17/2024,70.09,70.11,70.53,68.89,228.84K,0.39%
10/16/2024,69.82,70.39,70.69,69.12,181.55K,-0.27%
10/15/2024,70.01,71.14,71.57,69.2,244.86K,-4.41%
10/14/2024,73.24,74.26,74.35,71.24,174.47K,-2.15%
10/11/2024,74.85,75.0,75.28,73.85,217.34K,-0.35%
10/10/2024,75.11,72.73,75.45,72.62,206.39K,3.47%
10/09/2024,72.59,73.27,73.82,71.0,228.02K,-0.53%
10/08/2024,72.98,76.63,77.7,72.12,329.53K,-4.56%
10/07/2024,76.47,73.76,76.7,73.01,257.21K,3.79%
10/04/2024,73.68,73.35,74.84,72.94,262.04K,0.70%
10/03/2024,73.17,70.49,73.51,70.08,275.08K,4.99%
10/02/2024,69.69,70.3,71.95,69.45,241.14K,0.43%
10/01/2024,69.39,68.05,71.36,65.99,353.03K,2.39%
